类别,序号,模板原图,封面图,标签文案（英文）,主标题（英文）,副标题（英文）,hot,new,文案1,文案2,文案3,文案4,文案5
A,1,female_test_love1,cover_female_test_love1,Love Personality,What's Your Love's Secret Code? 🤫❤️ / 🔑💖,Your love pattern is being analyzed...,0,0,,,,,
B,1,female_test_love2,cover_female_test_love2,Love Personality,Unveil Your Unique Love Personality... ✨💖,"Gentle or distant, one test will tell...",0,0,,,,,
A,2,female_test_love3,cover_female_test_love3,Love Personality,How deeply you love～😏,If you are overly dependent on love...,0,1,,,,,
C,2,female_test_love4,cover_female_test_love4,Love Personality,Which Love Archetype Are You? 💘👑,Uncover your romantic role!,0,0,,,,,
A,3,female_test_career1,cover_female_test_career1,Workplace Personality,Discover Your Unique Work Persona 🌟🧑‍💼,"""Workaholic Warrior"" or ""Master Slacker""?",0,0,,,,,
B,3,female_test_career2,cover_female_test_career2,Workplace Personality,Your Workplace Aura: Revealed! 🔮✨,See how your energy truly impacts your colleagues.,0,0,,,,,
A,4,female_test_career3,cover_female_test_career3,Workplace Personality,Promotion Potential: Are You a Hidden Gem? 💎,What Your Boss Really Thinks: Get the Inside Scoop! 👀,0,0,,,,,
B,-2,female_test_career4,cover_female_test_career4,Workplace Personality,Which Workplace Creature Are You?👀,5 Hidden Traits Await Your Discovery,1,0,,,,,
D,5,female_test_daily1,cover_female_test_daily1,Daily Test,Discover Your Inner Color: What Are You Radiating Today? ✨,A Different You Every Day~,0,0,,,,,
D,5,female_test_daily2,cover_female_test_daily2,Daily Test,Is Your Heart Open to Romance Today? ❤️,Quick! Check Today's Love Forecast!,0,0,,,,,
C,6,female_test_daily3,cover_female_test_daily3,Daily Test,Unlock Your Day with One Word 🔑,What's Your Power Word for Today? 🤔,0,0,,,,,
C,6,female_test_daily4,cover_female_test_daily4,Daily Test,Your Daily Luck-O-Meter! 📊,AI Predicts if Good Times Are Rolling Your Way!,0,0,,,,,
E,-2,female_test_mix1,cover_female_test_mix1,Comprehensive Analysis,Your Love Report is Ready!,See You Clearly at a Glance!,1,0,,,,,
A,7,female_test_mix2,cover_female_test_mix2,Comprehensive Analysis,What's Your Secret Personality Vibe? 😎,Click to See Analysis Report,0,0,,,,,
E,7,female_test_mix3,cover_female_test_mix3,Comprehensive Analysis,AI Simulates Your Love Story,Loading……,0,0,,,,,
E,8,female_test_mix4,cover_female_test_mix4,Comprehensive Analysis,"Create Your ""Love Test Resume"" Now! 💌",Loading……,0,0,,,,,
