原字段,en,ja,ar,de,es,fr,pt,th,vi,zh-TW,,,,,,,,,
Touch the Mirror and Find Your True Self.,Touch the Mirror and Find Your True Self.,鏡に触れて、本当の自分を見つけよう。,المس المرآة وابحث عن نفسك الحقيقية.,Berühre den Spiegel und finde dein wahres Selbst.,Toca el espejo y encuentra tu verdadero yo.,Touchez le miroir et trouvez votre vrai moi.,Toque no espelho e encontre seu verdadeiro eu.,สัมผัสกระจกและค้นหาตัวตนที่แท้จริงของคุณ,Chạm  gương và tìm thấy con người thật của bạn.,觸摸鏡子，找到真實的自己。,,,,,,,,,
A Reflection of Your Inner World.,A Reflection of Your Inner World.,あなたの内なる世界の反映。,انعكاس لعالمك الداخلي.,Ein Spiegelbild Ihrer inneren Welt.,Un Reflejo De Tu Mundo Interior.,Un reflet de votre monde intérieur.,Um Reflexo do Seu Mundo Interior.,ภาพสะท้อนของโลกภายในของคุณ,Phản ánh thế giới bên trong của bạn.,你內心世界的反映。,,,,,,,,,
"You possess a quiet strength that carries you through every storm, lighting the path for others. Your resilience is deep, and the love you pour into your actions is your greatest legacy.","You possess a quiet strength that carries you through every storm, lighting the path for others. Your resilience is deep, and the love you pour into your actions is your greatest legacy.",あなたはすべての嵐を通してあなたを運ぶ静かな強さを持っています、他の人のための道を照らします。あなたの回復力は深く、あなたがあなたの行動に注ぐ愛はあなたの最大の遺産です。,تمتلك قوة هادئة تنقلك عبر كل عاصفة ، وتضيء الطريق للآخرين. مرونتك عميقة ، والحب الذي تصبه في أفعالك هو أعظم إرث لك.,"Du besitzt eine stille Kraft, die dich durch jeden Sturm trägt und anderen den Weg ebnet. Deine Widerstandsfähigkeit ist tief, und die Liebe, die du in dein Handeln steckst, ist dein größtes Vermächtnis.","Posees una fuerza silenciosa que te lleva a través de cada tormenta, iluminando el camino para los demás. Tu resistencia es profunda y el amor que viertes en tus acciones es tu mayor legado.","Vous possédez une force tranquille qui vous porte à travers chaque tempête, éclairant le chemin pour les autres. Votre résilience est profonde et l'amour que vous déversez dans vos actions est votre plus grand héritage.","Você possui uma força silenciosa que o carrega em todas as tempestades, iluminando o caminho para os outros. Sua resiliência é profunda e o amor que você derrama em suas ações é o seu maior legado.",คุณมีความแข็งแกร่งที่เงียบสงบที่พาคุณผ่านทุกพายุส่องสว่างเส้นทางสำหรับผู้อื่น ความยืดหยุ่นของคุณนั้นลึกซึ้งและความรักที่คุณเทลงในการกระทำของคุณคือมรดกที่ยิ่งใหญ่ที่สุดของคุณ,"Bạn sở hữu một sức  thầm lặng đưa bạn vượt qua mọi cơn bão, thắp sáng con đường cho người khác. Khả năng phục hồi của bạn rất sâu sắc, và tình yêu bạn đổ  hành động của mình là di sản lớn nhất của bạn.",你擁有一種安靜的力量，帶領你度過每一場風暴，爲他人照亮道路。你的韌性很深，你傾注在行動中的愛是你最大的遺產。,,,,,,,,,
"You navigate the world with soulful grace and unwavering generosity. Every challenge is met with honest effort, rooted in your dedication to forging a joyful future for your dearest loved ones.","You navigate the world with soulful grace and unwavering generosity. Every challenge is met with honest effort, rooted in your dedication to forging a joyful future for your dearest loved ones.",あなたはソウルフルな優雅さと揺るぎない寛大さで世界をナビゲートします。すべての挑戦は、あなたの最愛の人のために楽しい未来を築くためのあなたの献身に根ざした正直な努力で満たされます。,أنت تبحر في العالم بنعمة عاطفية وكرم لا يتزعزع. يتم مواجهة كل تحد بجهد صادق ، متجذر في تفانيك في تشكيل مستقبل بهيج لأحبائك الأعزاء.,"Sie navigieren durch die Welt mit gefühlvoller Anmut und unerschütterlicher Großzügigkeit. Jede Herausforderung wird mit ehrlicher Anstrengung bewältigt, die in Ihrer Hingabe wurzelt, eine freudige Zukunft für Ihre Liebsten zu schmieden.","Navegas por el mundo con gracia conmovedora y generosidad inquebrantable. Cada desafío se cumple con esfuerzo honesto, enraizado en tu dedicación a forjar un futuro alegre para tus seres queridos.","Vous naviguez dans le monde avec une grâce émouvante et une générosité inébranlable. Chaque défi est relevé avec un effort honnête, enraciné dans votre dévouement à forger un avenir joyeux pour vos êtres chers.","Você navega pelo mundo com graça comovente e generosidade inabalável. Cada desafio é enfrentado com esforço honesto, enraizado em sua dedicação em forjar um futuro alegre para seus entes queridos.",คุณนำทางโลกด้วยความสง่างามที่เต็มไปด้วยอารมณ์และความเอื้ออาทรที่ไม่เปลี่ยนแปลง ทุกความท้าทายจะพบกับความพยายามอย่างซื่อสัตย์มีรากฐานมาจากการอุทิศตนเพื่อสร้างอนาคตที่สนุกสนานสำหรับคนที่คุณรักที่สุด,"Bạn điều hướng thế giới bằng sự duyên dáng có hồn và sự hào phóng kiên định. Mọi thử thách đều được đáp ứng bằng nỗ lực trung thực, bắt nguồn từ sự cống hiến của bạn để tạo dựng một tương lai vui vẻ cho những người thân yêu nhất của bạn.",你以深情的優雅和堅定不移的慷慨駕馭世界。每一個挑戰都以誠實的努力來應對，植根於你致力於爲你最親愛的人打造一個快樂的未來。,,,,,,,,,
"Your boundless compassion and commitment to excellence show in every detail you touch. Despite a difficult road, you tirelessly strive forward, motivated to lift up the lives of those who rely on you.","Your boundless compassion and commitment to excellence show in every detail you touch. Despite a difficult road, you tirelessly strive forward, motivated to lift up the lives of those who rely on you.",あなたの無限の思いやりと卓越性へのコミットメントは、あなたが触れるあらゆる細部に表れています。困難な道にもかかわらず、あなたは疲れを知らずに前進し、あなたに頼っている人々の生活を向上させる意欲を持っています。,يظهر تعاطفك اللامحدود والتزامك بالتميز في كل التفاصيل التي تلمسها. على الرغم من الطريق الصعب ، فأنت تسعى بلا كلل إلى الأمام ، ولديك الدافع لرفع مستوى حياة أولئك الذين يعتمدون عليك.,"Ihr grenzenloses Mitgefühl und Ihr Engagement für Spitzenleistungen zeigen sich in jedem Detail, das Sie berühren. Trotz eines schwierigen Weges streben Sie unermüdlich nach vorne, motiviert, das Leben derer zu verbessern, die sich auf Sie verlassen.","Tu compasión sin límites y compromiso con la excelencia se muestran en cada detalle que tocas. A pesar de un camino difícil, te esfuerzas incansablemente por seguir adelante, motivado para levantar la vida de quienes confían en ti.","Votre compassion sans bornes et votre engagement envers l'excellence se manifestent dans chaque détail que vous touchez. Malgré une route difficile, vous vous efforcez sans relâche d'aller de l'avant, motivé pour améliorer la vie de ceux qui comptent sur vous.","Sua compaixão ilimitada e compromisso com a excelência aparecem em cada detalhe que você toca. Apesar de um caminho difícil, você se esforça incansavelmente, motivado para elevar a vida daqueles que confiam em você.",ความเห็นอกเห็นใจและความมุ่งมั่นสู่ความเป็นเลิศที่ไร้ขอบเขตของคุณแสดงให้เห็นในทุกรายละเอียดที่คุณสัมผัส แม้จะมีถนนที่ยากลำบาก แต่คุณก็มุ่งมั่นอย่างไม่้จักเหน็ดเหนื่อยไปข้างหน้ามีแรงจูงใจที่จะยกระดับชีวิตของผู้ที่พึ่งพาคุณ,"Lòng trắc ẩn vô biên và cam kết xuất sắc của bạn thể hiện trong từng chi tiết bạn chạm . Mặc dù có một con đường khó khăn, bạn không mệt mỏi phấn đấu về phía trước, có động lực để nâng cao cuộc sống của những người dựa  bạn.",你無限的同情心和對卓越的承諾體現在你接觸的每一個細節中。儘管道路艱難，但你不知疲倦地努力前進，有動力提升那些依賴你的人的生活。,,,,,,,,,
"With an inner light that never dims, you are an anchor of hope and stability. You tackle demanding situations with wisdom, driven by the profound purpose of providing comfort and happiness to your loved ones.","With an inner light that never dims, you are an anchor of hope and stability. You tackle demanding situations with wisdom, driven by the profound purpose of providing comfort and happiness to your loved ones.",決して暗くならない内なる光で、あなたは希望と安定の錨です。あなたはあなたの愛する人に快適さと幸福を提供するという深い目的によって駆り立てられた知恵で厳しい状況に取り組みます。,مع ضوء داخلي لا يخفت أبدًا ، فأنت مرساة للأمل والاستقرار. أنت تتعامل مع المواقف الصعبة بحكمة ، مدفوعة بهدف عميق يتمثل في توفير الراحة والسعادة لأحبائك.,"Mit einem inneren Licht, das nie schwächer wird, sind Sie ein Anker der Hoffnung und Stabilität. Sie gehen anspruchsvolle Situationen mit Weisheit an, angetrieben von der tiefen Absicht, Ihren Lieben Trost und Glück zu spenden.","Con una luz interior que nunca se atenúa, eres un ancla de esperanza y estabilidad. Abordas situaciones exigentes con sabiduría, impulsado por el profundo propósito de brindar consuelo y felicidad a tus seres queridos.","Avec une lumière intérieure qui ne faiblit jamais, vous êtes une ancre d'espoir et de stabilité. Vous abordez les situations exigeantes avec sagesse, animé par le but profond d'apporter réconfort et bonheur à vos proches.","Com uma luz interior que nunca se apaga, você é uma âncora de esperança e estabilidade. Você enfrenta situações exigentes com sabedoria, movido pelo profundo propósito de proporcionar conforto e felicidade aos seus entes queridos.",ด้วยแสงภายในที่ไม่เคยหรี่แสงคุณเป็นจุดยึดแห่งความหวังและความมั่นคง คุณจัดการกับสถานการณ์ที่เรียกร้องด้วยปัญญาขับเคลื่อนโดยจุดประสงค์ที่ลึกซึ้งในการมอบความสะดวกสบายและความสุขให้กับคนที่คุณรัก,"Với ánh sáng bên trong không bao giờ mờ đi, bạn là mỏ neo của hy vọng và sự ổn định. Bạn giải quyết các tình huống đòi hỏi bằng sự khôn ngoan, được thúc  bởi mục đích sâu sắc là mang lại sự thoải mái và hạnh phúc cho những người thân yêu của bạn.",擁有永不黯淡的內在光芒，你是希望和穩定的錨。你用智慧應對苛刻的情況，被爲你所愛的人提供舒適和幸福的深刻目標所驅使。,,,,,,,,,
"Your empathy creates a safe harbor, and your persistent spirit overcomes every obstacle. You know the true meaning of sacrifice, constantly pushing your boundaries to ensure a life of greater opportunity for the precious people in your heart.","Your empathy creates a safe harbor, and your persistent spirit overcomes every obstacle. You know the true meaning of sacrifice, constantly pushing your boundaries to ensure a life of greater opportunity for the precious people in your heart.",あなたの共感は安全な港を作り出し、あなたの粘り強い精神はあらゆる障害を克服します。あなたは犠牲の真の意味を知っており、あなたの心の中の貴重な人々のためにより大きな機会の人生を確実にするために常にあなたの限界を押し広げています。,يخلق تعاطفك ملاذًا آمنًا ، وتتغلب روحك المستمرة على كل عقبة. أنت تعرف المعنى الحقيقي للتضحية ، وتدفع باستمرار حدودك لضمان حياة ذات فرص أكبر للأشخاص الثمينين في قلبك.,"Ihr Einfühlungsvermögen schafft einen sicheren Hafen, und Ihr beharrlicher Geist überwindet jedes Hindernis. Sie kennen die wahre Bedeutung von Opfern und stoßen ständig an Ihre Grenzen, um den wertvollen Menschen in Ihrem Herzen ein Leben mit größeren Chancen zu ermöglichen.","Tu empatía crea un puerto seguro y tu espíritu persistente supera todos los obstáculos. Conoces el verdadero significado del sacrificio, empujando constantemente tus límites para asegurar una vida de mayores oportunidades para las personas preciosas en tu corazón.","Votre empathie crée un havre de sécurité et votre esprit persévérant surmonte tous les obstacles. Vous connaissez la vraie signification du sacrifice, repoussant constamment vos limites pour assurer une vie de plus grandes opportunités aux précieuses personnes de votre cœur.","Sua empatia cria um porto seguro e seu espírito persistente supera todos os obstáculos. Você conhece o verdadeiro significado do sacrifício, constantemente ultrapassando seus limites para garantir uma vida de maiores oportunidades para as pessoas preciosas em seu coração.",ความเห็นอกเห็นใจของคุณสร้างท่าเรือที่ปลอดภัยและวิญญาณที่คงอยู่ของคุณเอาชนะทุกอุปสรรค คุณ้ความหมายที่แท้จริงของการเสียสละผลักดันขอบเขตของคุณอย่างต่อเนื่องเพื่อให้แน่ใจว่าชีวิตของโอกาสที่มากขึ้นสำหรับคนที่มีค่าในใจของคุณ,"Sự đồng cảm của bạn tạo ra một bến cảng an toàn, và tinh thần bền bỉ của bạn vượt qua mọi trở ngại. Bạn biết ý nghĩa thực sự của sự hy sinh, không ngừng vượt qua ranh giới của mình để đảm bảo một cuộc sống có cơ hội lớn hơn cho những người quý giá trong trái tim bạn.",你的同理心創造了一個安全的港灣，你堅持不懈的精神克服了每一個障礙。你知道犧牲的真正含義，不斷突破你的界限，以確保你心中珍貴的人有更大機會的生活。,,,,,,,,,
Negative self-talk,Negative self-talk,ネガティブな自己語り,كلام النفس السلبي,Negative Selbstgespräche,Charla personal negativa,Discours intérieur négatif,Conversa interna negativa,การพูดด้วยตนเองเชิงลบ,Tự nói tiêu cực,消極的自我對話,,,,,,,,,
Maintains firm boundaries,Maintains firm boundaries,しっかりとした境界を維持する,يحافظ على حدود ثابتة,Behält feste Grenzen bei,Mantiene límites firmes,Maintient les limites fermes,Mantém limites firmes,รักษาขอบเขตของ บริษัท,Duy trì ranh giới vững chắc,保持堅定的界限,,,,,,,,,
