原字段	en	ja	ar	de	es	fr	pt	th	vi	zh-TW
Each flicker of its light whispers a secret about your destiny.	Each flicker of its light whispers a secret about your destiny.	その光のちらつきは、あなたの運命についての秘密をささやきます。	كل وميض من نوره يهمس بسر عن مصيرك.	Jedes Flackern seines Lichts flüstert ein Geheimnis über dein Schicksal.	Cada parpadeo de su luz susurra un secreto sobre tu destino.	Chaque scintillement de sa lumière murmure un secret sur votre destin.	Cada lampejo de sua luz sussurra um segredo sobre seu destino.	การสั่นไหวของแสงแต่ละครั้งจะกระซิบความลับเกี่ยวกับโชคชะตาของคุณ	Mỗi nhấp nháy ánh sáng của nó thì thầm một bí mật về số phận của bạn.	它的每一次閃爍都在低語你命運的祕密。
A hidden force answers your call…	A hidden force answers your call…	隠れた力があなたの呼びかけに応えます…	قوة خفية تجيب على مكالمتك...	Eine verborgene Kraft antwortet auf deinen Ruf..	Una fuerza oculta responde a tu llamada...	Une force cachée répond à votre appel	Uma força oculta atende ao seu chamado...	พลังที่ซ่อนอยู่รับสายของคุณ..	Một thế lực tiềm ẩn trả lời cuộc gọi của bạn...	一股隱藏的力量回應了你的召喚…
Sweet, dark, or dangerously magical…	Sweet, dark, or dangerously magical…	甘い、暗い、または危険な魔法のような...	حلوة ، مظلمة ، أو سحرية بشكل خطير...	Süß, dunkel oder gefährlich magisch..	Dulce, oscuro o peligrosamente mágico...	Doux, sombre ou dangereusement magique	Doce, sombrio ou perigosamente mágico...	หวาน มืด หรือมีมนต์ขลังอันตราย..	Ngọt ngào,  tối hoặc ma thuật nguy hiểm...	甜美、黑暗或危險的魔法…
You will be the center of attention.	You will be the center of attention.	あなたは注目の的になるでしょう。	سوف تكون مركز الاهتمام.	Sie werden im Mittelpunkt der Aufmerksamkeit stehen.	Serás el centro de atención.	Vous serez le centre d'attention.	Você será o centro das atenções.	คุณจะเป็นศูนย์กลางของความสนใจ	Bạn sẽ là trung tâm của sự chú ý.	你將成爲關注的焦點。
Sweetness hides many truths…	Sweetness hides many truths…	甘さは多くの真実を隠している…	الحلاوة تخفي حقائق كثيرة...	Süße verbirgt viele Wahrheiten..	La dulzura esconde muchas verdades...	La douceur cache de nombreuses vérités...	A doçura esconde muitas verdades...	ความหวานซ่อนความจริงมากมาย..	Sự ngọt ngào ẩn chứa nhiều sự thật...	甜蜜隱藏了許多真相…
Will they bless you with fortune or play a wicked little trick?	Will they bless you with fortune or play a wicked little trick?	彼らはあなたに幸運をもたらすのか、それとも邪悪な小さなトリックをするのか?	هل سيباركونك بالثروة أم يلعبون خدعة صغيرة شريرة ؟	Werden sie dich mit Glück segnen oder einen bösen kleinen Trick anwenden?	¿Te bendecirán con la fortuna o jugarán un pequeño truco perverso?	Vont-ils vous bénir avec la fortune ou jouer un petit tour méchant?	Eles vão te abençoar com fortuna ou fazer um pequeno truque perverso?	พวกเขาจะอวยพรคุณด้วยโชคลาภหรือเล่นกลเล็ก ๆ น้อย ๆ ที่ชั่วร้าย?	Họ sẽ ban phước cho bạn với tài sản hay  một trò lừa nhỏ ?	他們會給你帶來好運還是會玩一個邪惡的小把戲？
The spirit whispers a truth your heart already knows.	The spirit whispers a truth your heart already knows.	スピリットは、あなたの心がすでに知っている真実をささやきます。	تهمس الروح بحقيقة يعرفها قلبك بالفعل.	Der Geist flüstert eine Wahrheit, die dein Herz bereits kennt.	El espíritu susurra una verdad que tu corazón ya sabe.	L'esprit murmure une vérité que votre cœur connaît déjà.	O espírito sussurra uma verdade que seu coração já conhece.	วิญญาณกระซิบความจริงที่หัวใจของคุณ้อยู่แล้ว	Linh hồn thì thầm một sự thật mà trái tim bạn đã biết.	靈魂低語着你心中早已知曉的真相。
Uncover More of Your Talents & Accolades	Uncover More of Your Talents & Accolades	あなたの才能と栄誉をもっと発見しよう	اكتشف المزيد من المواهب والأوسمة الخاصة بك	Entdecken Sie mehr von Ihren Talenten und Auszeichnungen	Descubre Más De Tus Talentos Y Reconocimientos	Découvrez plus de vos talents et distinctions	Descubra mais de seus talentos e elogios	ค้นพบความสามารถและรางวัลของคุณมากขึ้น	Khám phá thêm tài năng và danh hiệu của bạn	發現更多您的才華和榮譽
Good luck comes to you.	Good luck comes to you.	幸運はあなたに訪れます。	حظا سعيدا يأتي لك.	Viel Glück kommt zu Ihnen.	La buena suerte viene a ti.	Bonne chance vient à toi.	Boa sorte vem até você.	ขอให้โชคดีมาหาคุณ	Chúc may mắn đến với bạn.	祝你好運。
In the next 3 months, you will...	In the next 3 months, you will...	次の3ヶ月で、あなたはそうなるでしょう。。。	في الأشهر الثلاثة المقبلة ، سوف تفعل ذلك...	In den nächsten 3 Monaten werden Sie das tun...	En los próximos 3 meses, lo harás...	Dans les 3 prochains mois, vous allez...	Nos próximos 3 meses, você vai...	ในอีก 3 เดือนข้างหน้าคุณจะ..	Trong 3 tháng tới, bạn sẽ..	在接下來的3個月裏，你將…
The Ring Belongs on the Right Finger	The Ring Belongs on the Right Finger	指輪は右指にあります。	الخاتم ينتمي إلى الإصبع الأيمن	Der Ring gehört zum rechten Finger	El Anillo Pertenece al Dedo Derecho	La bague appartient au doigt droit	O Anel Pertence ao Dedo Direito	แหวนอยู่บนนิ้วขวา	Chiếc nhẫn thuộc về ngón tay phải	戒指屬於右手指
Good Fortune, Non-Stop	Good Fortune, Non-Stop	幸運はノンストップ	حسن الحظ ، بدون توقف	Viel Glück, Non-Stop	Buena fortuna, sin parar	Bonne fortune, non-stop	Boa Sorte, Sem Parar	โชคลาภไม่หยุด	Vận may, không ngừng nghỉ	好運，不停
Five places you will visit	Five places you will visit	あなたが訪れる5つの場所	خمسة أماكن سوف تزورها	Fünf Orte, die Sie besuchen werden	Cinco lugares que visitarás	Cinq endroits que vous visiterez	Cinco lugares que você visitará	ห้าสถานที่ที่คุณจะเยี่ยมชม	Năm địa điểm bạn sẽ ghé thăm	你將參觀的五個地方
Your Keywords Are...	Your Keywords Are...	あなたのキーワードは。。。	كلماتك الرئيسية هي...	Ihre Schlüsselwörter sind...	Tus Palabras Clave Son...	Vos mots clés sont...	Suas Palavras-chave São...	คำสำคัญของคุณคือ..	Từ khóa của bạn là...	你的關鍵詞是…
Which of your achievements will make tomorrow's front page headline?	Which of your achievements will make tomorrow's front page headline?	明日のトップページの見出しになるあなたの業績は何ですか?	أي من إنجازاتك سيجعل عنوان الصفحة الأولى غدًا ؟	Welche Ihrer Errungenschaften werden morgen auf der Titelseite erscheinen?	¿Cuál de tus logros será el titular de la primera página de mañana?	Laquelle de vos réalisations fera la une de demain?	Qual de suas conquistas será a manchete da primeira página de amanhã?	ความสำเร็จใดของคุณที่จะทำให้พาดหัวข่าวหน้าแรกของวันพรุ่งนี้	Thành tựu nào của bạn sẽ làm tiêu đề trang nhất của ngày mai?	你的哪些成就會登上明天的頭版頭條？
The Answer Will Be Hilarious	The Answer Will Be Hilarious	答えは面白いでしょう。	الجواب سيكون فرحان	Die Antwort wird urkomisch sein	La Respuesta Será Divertidísima	La réponse sera hilarante	A Resposta Será Hilária	คำตอบจะเฮฮา	Câu trả lời sẽ rất vui nhộn	答案會很滑稽
It Follows You Wherever You Go	It Follows You Wherever You Go	どこへ行ってもついてくる	يتبعك أينما ذهبت	Es folgt Ihnen, wohin Sie auch gehen	Te Sigue Dondequiera Que Vayas	Il vous suit partout où vous allez	Ele Te Segue Onde Quer Que Você Vá	มันติดตามคุณทุกที่ที่คุณไป	Nó theo bạn bất cứ nơi nào bạn đi	無論你走到哪裏它都會跟着你
Don’t mind the malice of others — you are always the best.	Don’t mind the malice of others — you are always the best.	他人の悪意を気にしないでください-あなたはいつも最高です。	لا تهتم بخبث الآخرين - فأنت دائمًا الأفضل.	Kümmere dich nicht um die Bosheit der anderen - du bist immer der Beste.	No te preocupes por la malicia de los demás, siempre eres el mejor.	Ne fais pas attention à la malice des autres - tu es toujours le meilleur.	Não ligue para a malícia dos outros - você é sempre o melhor.	อย่าสนใจความอาฆาตพยาบาทของผู้อื่น - คุณดีที่สุดเสมอ	Đừng bận tâm đến  ý của người khác - bạn luôn là người giỏi nhất.	不要介意別人的惡意——你總是最好的。
"Every name is one of a kind.
"	"Every name is one of a kind.
"	"すべての名前はユニークです。
"	"كل اسم فريد من نوعه.
"	"Jeder Name ist ein Unikat.
"	"Cada nombre es único.
"	"Chaque nom est unique en son genre.
"	"Cada nome é único.
"	"ทุกชื่อเป็นหนึ่งในประเภท
"	"Mỗi tên là một trong một loại.
"	"每個名字都是獨一無二的。
"
Your life just went from zero to hero! 	Your life just went from zero to hero! 	あなたの人生はゼロからヒーローになりました! 	حياتك ذهبت للتو من الصفر إلى البطل! 	Dein Leben ist gerade von Null auf Held umgestiegen! 	¡Tu vida acaba de pasar de cero a héroe! 	Votre vie est juste passée de zéro à héros! 	Sua vida passou de zero a herói! 	ชีวิตของคุณเพิ่งเปลี่ยนจากศูนย์เป็นฮีโร่! 	Cuộc sống của bạn vừa đi từ con số không thành anh hùng! 	你的生活從零變成了英雄！ 
