原字段,en,ja,ar,de,es,fr,pt,th,vi,zh-TW,,,,,,,,,
Lock,Lock,ロック,قفل,Schloss,Bloquear,Verrouiller,Trancar,ล็อค,Khóa,鎖,,,,,,,,,
Keys,Keys,キー,المفاتيح,Schlüssel,Llaves,Clés,Chaves,กุญแจ,Chìa khóa,鑰匙,,,,,,,,,
share,share,共有する,شاطر,Teilen,Comparte,Partager,Compartilhar,แบ่งปัน,chia sẻ,分享,,,,,,,,,
back,back,戻る,العودة,zurück,De vuelta,Retour,Costas,กลับ,trở lại,後背,,,,,,,,,
retry,retry,再試行する,أعد المحاولة,Wiederholungsversuch,Volver a intentarlo,réessayer,Tentar novamente,ลองใหม่,thử lại,重試,,,,,,,,,
language,language,言語,اللغة,Sprache,Idioma,Langue,Língua,ภาษา,ngôn ngữ,語言,,,,,,,,,
how to play?,how to play?,遊び方は?,كيف تلعب ؟,Wie spielt man?,¿Cómo jugar?,Comment jouer?,Como jogar?,วิธีเล่น?,làm thế nào để ?,怎麼玩？,,,,,,,,,
More meme for you,More meme for you,あなたにもっとミームを,اكثر ميمي لك,Mehr Meme für Sie,Más memes para ti,Plus de mème pour toi,Mais meme para você,มีมเพิ่มเติมสำหรับคุณ,Thêm meme cho bạn,給你更多迷因,,,,,,,,,
Don't blink…,Don't blink…,まばたきしないで。。。,لا ترمش...,Nicht blinzeln..,No parpadees...,Ne clignez pas des yeux...,Não pisque …,อย่ากระพริบตา..,Đừng chớp mắt...,不要眨眼…,,,,,,,,,
Love Personality,Love Personality,ラブ・パーソナリティ,شخصية الحب,Liebe Persönlichkeit,Amor Personalidad,Personnalité amoureuse,Personalidade amorosa,รักบุคลิกภาพ,Yêu nhân cách,愛情人格,,,,,,,,,
What's Your Love's Secret Code? 🤫❤️ / 🔑💖,What's Your Love's Secret Code? 🤫❤️ / 🔑💖,あなたの愛の秘密のコードは何ですか?🤫❤️/ 🔑💖,ما هو الرمز السري لحبك ؟ 🤫❤️ / 🔑💖,Was's Your Love 's Secret Code? 🤫❤️ / 🔑💖,¿Cuál Es El Código Secreto De Tu Amor? 🤫❤️ / 🔑💖,Quel est le code secret de votre amour? 🤫❤️ / 🔑💖,Qual é o código secreto do seu amor? 🤫❤️ / 🔑💖,รหัสลับความรักของคุณคืออะไร?🤫❤️/ 🔑💖,Mật mã tình yêu của bạn là gì? 🤫❤️ 🔑💖,你愛的密碼是什麼？🤫❤️/ 🔑💖,,,,,,,,,
Your love pattern is being analyzed...,Your love pattern is being analyzed...,あなたの恋愛パターンが分析されています。。。,يتم تحليل نمط حبك...,Ihr Liebesmuster wird gerade analysiert...,Tu patrón de amor está siendo analizado...,Votre modèle d'amour est en cours d'analyse,Seu padrão de amor está sendo analisado...,ปแบบความรักของคุณกำลังถูกวิเคราะห์..,Mô hình tình yêu của bạn đang được phân tích...,你的愛情模式正在被分析…,,,,,,,,,
Unveil Your Unique Love Personality... ✨💖,Unveil Your Unique Love Personality... ✨💖,あなたのユニークな愛の性格を明らかにしてください。。。 ✨💖,كشف النقاب عن شخصية الحب الفريدة الخاصة بك... ✨💖,Enthüllen Sie Ihre einzigartige Liebespersönlichkeit... ✨💖,Revela Tu Personalidad De Amor Única... ✨💖,Dévoilez votre personnalité amoureuse unique ✨💖,Descubra Sua Personalidade De Amor Única... ✨💖,เปิดเผยบุคลิกภาพความรักที่เป็นเอกลักษณ์ของคุณ.. ✨💖,Tiết lộ tính cách tình yêu độc đáo của bạn... ✨💖,展現你獨特的愛情個性… ✨💖,,,,,,,,,
"Gentle or distant, one test will tell...","Gentle or distant, one test will tell...",優しいか遠いか、一つのテストでわかります。。。,لطيف أو بعيد ، سيخبرنا اختبار واحد...,"Sanft oder distanziert, ein Test wird es zeigen...","Suave o distante, una prueba lo dirá...","Doux ou distant, un test le dira","Gentil ou distante, um teste dirá...",อ่อนโยนหรือห่างไกลการทดสอบหนึ่งจะบอก..,"Nhẹ nhàng hay xa cách, một bài kiểm tra sẽ cho biết...",溫柔或疏遠，一個測試會告訴你…,,,,,,,,,
How deeply you love～😏,How deeply you love～😏,～をどれだけ深く愛しているか😏,~ ما مدى عمق حبك😏,Wie sehr du ~ liebst😏,Cuán profundamente amas😏,À quel point tu aimes (😏,Quão profundamente você ama ~😏,คุณรักมากแค่ไหน ~😏,Bạn yêu sâu sắc biết bao ~😏,你愛的有多深~😏,,,,,,,,,
If you are overly dependent on love...,If you are overly dependent on love...,あなたが愛に過度に依存している場合。。。,إذا كنت تعتمد بشكل مفرط على الحب...,Wenn Sie zu sehr von der Liebe abhängig sind...,Si eres demasiado dependiente del amor...,Si vous êtes trop dépendant de l'amour,Se você é excessivamente dependente do amor...,หากคุณพึ่งพาความรักมากเกินไป..,Nếu bạn quá phụ thuộc  tình yêu...,如果你過度依賴愛情…,,,,,,,,,
Which Love Archetype Are You? 💘👑,Which Love Archetype Are You? 💘👑,あなたはどの愛の原型ですか? 💘👑,أي نموذج الحب أنت ؟ 💘👑,Welcher Liebesarchetyp bist du? 💘👑,¿Qué Arquetipo De Amor Eres? 💘👑,Quel archétype d'amour êtes-vous? 💘👑,Qual Arquétipo De Amor Você É? 💘👑,คุณเป็นต้นแบบความรักแบบไหน? 💘👑,Bạn là nguyên mẫu tình yêu nào? 💘👑,你是哪個愛情原型？ 💘👑,,,,,,,,,
Uncover your romantic role!,Uncover your romantic role!,あなたのロマンチックな役割を発見しよう!,كشف دورك الرومانسي!,Entdecken Sie Ihre romantische Rolle!,¡Descubre tu papel romántico!,Découvrez votre rôle romantique!,Descubra seu papel romântico!,ค้นพบบทบาทโรแมนติกของคุณ!,Khám phá vai trò lãng mạn của bạn!,揭開你的浪漫角色！,,,,,,,,,
Workplace Personality,Workplace Personality,職場のパーソナリティ,شخصية مكان العمل,Persönlichkeit am Arbeitsplatz,Personalidad del lugar de trabajo,Personnalité sur le lieu de travail,Personalidade do Local de Trabalho,บุคลิกภาพในที่ทำงาน,Tính cách nơi làm việc,職場人格,,,,,,,,,
Discover Your Unique Work Persona 🌟🧑‍💼,Discover Your Unique Work Persona 🌟🧑💼,ユニークな仕事のペルソナを発見する 🌟🧑💼,اكتشف شخصية عملك الفريدة 🌟🧑💼,Entdecken Sie Ihr einzigartiges Arbeitspersonal 🌟🧑💼,Descubre Tu Persona De Trabajo Única 🌟🧑💼,Découvrez votre personnage de travail unique 🌟🧑💼,Descubra Sua Persona de Trabalho Única 🌟🧑💼,ค้นพบบุคลิกการทำงานที่ไม่เหมือนใครของคุณ 🌟🧑💼,Khám phá tính cách công việc độc đáo của bạn 🌟🧑💼,發現你獨特的工作角色 🌟🧑💼,,,,,,,,,
"Workaholic Warrior or ""Master Slacker""?","Workaholic Warrior or ""Master Slacker""?",仕事中毒の戦士または「マスタースラッカー」?,"محارب مدمن على العمل أم ""سيد المتهرب"" ؟","Workaholic Warrior oder ""Master Slacker""?","¿Guerrero adicto al trabajo o ""Maestro Slacker""?","Workaholic Warrior ou ""Master Slacker""?","Guerreiro viciado em trabalho ou ""Mestre preguiçoso""?","นักรบคนบ้างานหรือ ""ปรมาจารย์คนเกียจคร้าน""?","Chiến binh tham công hay ""Master Slacker""?",工作狂戰士還是“懶鬼大師”？,,,,,,,,,
Your Workplace Aura: Revealed! 🔮✨,Your Workplace Aura: Revealed! 🔮✨,あなたの職場のオーラが明らかになりました! 🔮✨,هالة مكان عملك: كشفت! 🔮✨,Ihre Aura am Arbeitsplatz: Enthüllt! 🔮✨,Tu Aura En El Lugar De Trabajo: ¡Revelada! 🔮✨,Votre aura sur le lieu de travail : révélée! 🔮✨,Sua Aura no Local de Trabalho: Revelada! 🔮✨,ที่ทำงานของคุณออร่า: เปิดเผย! 🔮✨,Hào quang nơi làm việc của bạn: Tiết lộ! 🔮✨,你的職場光環：顯露！ 🔮✨,,,,,,,,,
See how your energy truly impacts your colleagues.,See how your energy truly impacts your colleagues.,あなたのエネルギーが本当に同僚にどのように影響を与えるかを見てください。,انظر كيف تؤثر طاقتك حقًا على زملائك.,"Sehen Sie, wie sich Ihre Energie wirklich auf Ihre Kollegen auswirkt.",Vea cómo su energía realmente impacta a sus colegas.,Voyez comment votre énergie a vraiment un impact sur vos collègues.,Veja como sua energia realmente afeta seus colegas.,ดูว่าพลังงานของคุณส่งผลกระทบต่อเพื่อนร่วมงานของคุณอย่างไร,Xem năng lượng của bạn thực sự tác động đến đồng nghiệp như thế nào.,看看你的能量如何真正影響你的同事。,,,,,,,,,
Promotion Potential: Are You a Hidden Gem? 💎,Promotion Potential: Are You a Hidden Gem? 💎,プロモーションの可能性:あなたは隠れた宝石ですか? 💎,إمكانية الترويج: هل أنت جوهرة خفية ؟ 💎,Förderungspotenzial: Sind Sie ein verstecktes Juwel? 💎,Potencial de promoción: ¿Eres una joya escondida? 💎,Potentiel de promotion : êtes-vous un joyau caché? 💎,Potencial de promoção: Você é uma joia oculta? 💎,ศักยภาพในการส่งเสริมการขาย: คุณเป็นอัญมณีที่ซ่อนอยู่หรือไม่? 💎,Tiềm năng quảng bá: Bạn có phải là một viên ngọc ẩn? 💎,推廣潛力：你是隱藏的寶石嗎？ 💎,,,,,,,,,
What Your Boss Really Thinks: Get the Inside Scoop! 👀,What Your Boss Really Thinks: Get the Inside Scoop! 👀,あなたの上司が本当に考えていること:内部情報を入手しよう! 👀,ما يعتقده رئيسك حقًا: احصل على السبق الصحفي الداخلي! 👀,Was Ihr Chef denkt wirklich: Holen Sie sich den Insider-Scoop! 👀,Lo Que Realmente Piensa Tu Jefe: ¡Obtén la primicia interna! 👀,Ce que pense vraiment votre patron : obtenez le scoop! 👀,O que seu chefe realmente pensa: obtenha informações privilegiadas! 👀,สิ่งที่เจ้านายของคุณคิดจริงๆ: รับสกู๊ปภายใน! 👀,Sếp của bạn thực sự nghĩ gì: Lấy muỗng bên trong! 👀,你老闆真正的想法：獲取內幕消息！ 👀,,,,,,,,,
Which Workplace Creature Are You?👀,Which Workplace Creature Are You?👀,あなたはどの職場の生き物ですか?👀,أي مخلوق في مكان العمل أنت ؟👀,Welches Wesen am Arbeitsplatz sind Sie?👀,¿Qué Criatura Del Lugar De Trabajo Eres?👀,Quelle créature du lieu de travail êtes-vous?👀,Qual Criatura No Local De Trabalho Você É?👀,คุณเป็นสิ่งมีชีวิตในที่ทำงานแบบไหน?👀,Bạn là sinh vật nơi làm việc nào?👀,你是哪種職場生物？👀,,,,,,,,,
5 Hidden Traits Await Your Discovery,5 Hidden Traits Await Your Discovery,5つの隠れた特徴があなたの発見を待っています,5 سمات خفية تنتظر اكتشافك,5 verborgene Merkmale warten auf Ihre Entdeckung,5 Rasgos Ocultos Espera Tu Descubrimiento,5 traits cachés attendent votre découverte,5 Traços Ocultos Aguardam Sua Descoberta,5 ลักษณะที่ซ่อนอยู่รอการค้นพบของคุณ,5 đặc điểm ẩn đang chờ bạn khám phá,5個隱藏的特徵等待您的發現,,,,,,,,,
Daily Test,Daily Test,デイリーテスト,اختبار يومي,Täglicher Test,Prueba Diaria,Test quotidien,Teste Diário,ทดสอบรายวัน,Kiểm tra hàng ngày,每日測試,,,,,,,,,
Discover Your Inner Color: What Are You Radiating Today? ✨,Discover Your Inner Color: What Are You Radiating Today? ✨,あなたの内なる色を発見する:今日あなたは何を放射していますか? ✨,اكتشف لونك الداخلي: ما الذي تشع به اليوم ؟ ✨,Entdecken Sie Ihre innere Farbe: Was strahlen Sie heute? ✨,Descubre Tu Color Interior: ¿Qué Estás Radiando Hoy? ✨,Découvrez votre couleur intérieure : que rayonnez-vous aujourd'hui? ✨,Descubra sua cor interior: o que você está irradiando hoje? ✨,ค้นพบสีภายในของคุณ: วันนี้คุณเปล่งประกายอะไร? ✨,Khám phá màu sắc bên trong của bạn: Bạn đang tỏa ra điều gì hôm nay? ✨,發現你的內在色彩：你今天在輻射什麼？ ✨,,,,,,,,,
A Different You Every Day~,A Different You Every Day~,毎日違うあなた～,أنت مختلف كل يوم ~,Jeden Tag ein anderes Du ~,Un Tú Diferente Cada Día ~,Un toi différent chaque jour ~,Um Você Diferente Todos Os Dias ~,แตกต่างจากคุณทุกวัน ~,Một bạn khác mỗi ngày ~,每天都有不一樣的你~,,,,,,,,,
Is Your Heart Open to Romance Today? ❤️,Is Your Heart Open to Romance Today? ❤️,今日、あなたの心はロマンスに開かれていますか? ❤️,هل قلبك منفتح على الرومانسية اليوم ؟ ❤️,Ist Ihr Herz heute offen für Romantik? ❤️,¿Está Tu Corazón Abierto Al Romance Hoy? ❤️,Votre cœur est-il ouvert à la romance aujourd'hui? ❤️,Seu Coração Está Aberto Ao Romance Hoje? ❤️,วันนี้หัวใจของคุณเปิดให้โรแมนติกหรือไม่? ❤️,Hôm nay trái tim bạn có rộng mở với sự lãng mạn không? ❤️,今天你的心對浪漫敞開了嗎？ ❤️,,,,,,,,,
Quick! Check Today's Love Forecast!,Quick! Check Today's Love Forecast!,今日の恋愛予報を早くチェックしよう!,سريع! تحقق من توقعات الحب اليوم!,Schnell! Prüfen Sie die heutige Liebesvorhersage!,¡Rápido! ¡Revisa el Pronóstico de Amor de Hoy!,Vite! Vérifiez les prévisions d'amour d'aujourd'hui!,Rápido! Confira A Previsão Do Amor De Hoje!,ด่วน! ตรวจสอบการพยากรณ์ความรักของวันนี้!,Nhanh chóng! Kiểm tra dự báo tình yêu của ngày hôm nay!,快！看看今天的愛情預測！,,,,,,,,,
Unlock Your Day with One Word 🔑,Unlock Your Day with One Word 🔑,一つの言葉であなたの一日を解き放つ 🔑,فتح يومك مع كلمة واحدة 🔑,Schalten Sie Ihren Tag mit einem Wort frei 🔑,Desbloquea Tu Día con Una Palabra 🔑,Débloquez votre journée avec un mot 🔑,Desbloqueie seu dia com uma palavra 🔑,ปลดล็อกวันของคุณด้วยคำเดียว 🔑,Mở khóa ngày của bạn bằng một từ 🔑,用一句話解鎖你的一天 🔑,,,,,,,,,
What's Your Power Word for Today? 🤔,What's Your Power Word for Today? 🤔,今日のあなたのパワーワードは何ですか? 🤔,ما هي كلمتك القوية لهذا اليوم ؟ 🤔,Was ist Ihr Power-Wort für heute? 🤔,¿Cuál Es Tu Palabra De Poder Para Hoy? 🤔,Quel est votre mot de pouvoir pour aujourd'hui? 🤔,Qual é a sua palavra de poder para hoje? 🤔,คำพลังของคุณสำหรับวันนี้คืออะไร? 🤔,Power Word của bạn cho ngày hôm nay là gì? 🤔,你今天的關鍵詞是什麼？ 🤔,,,,,,,,,
Your Daily Luck-O-Meter! 📊,Your Daily Luck-O-Meter! 📊,あなたの毎日の運O-Meter! 📊,مقياس الحظ اليومي الخاص بك! 📊,Ihr tägliches Glück-O-Meter! 📊,¡Tu Suerte-O- Medidor Diario! 📊,Votre porte-bonheur quotidien! 📊,Seu Medidor De Sorte Diário! 📊,เครื่องรางนำโชคประจำวันของคุณ! 📊,Máy đo may mắn hàng ngày của bạn! 📊,你的每日運氣O-Meter！ 📊,,,,,,,,,
